,source,target,junction,length,maxspeed,access,name,width,lanes,oneway,bridge,osmid,geometry,tunnel,ref,highway
2722,44715974,4941026103,,46.756,,,,,,False,,744756397,"LINESTRING (4.3473889 51.9821834, 4.3474741 51.9821381, 4.3475322 51.9821072, 4.3475822 51.9819837, 4.3476513 51.9818123)",,,living_street
2723,1583992775,1583992769,,54.025,15,,Orinocostraat,,,False,,144917616,,,,living_street
2724,44715978,1565882142,,88.425,15,,Cubalaan,,,False,,142823219,"LINESTRING (4.3491488 51.9821243, 4.3492801 51.9822102, 4.3493664 51.9822635, 4.3501129 51.9823797, 4.350314 51.982411)",,,living_street
2725,44715978,1565880791,,76.857,15,,Havannastraat,,,False,,143091514,"LINESTRING (4.3491488 51.9821243, 4.3485832 51.9817857, 4.3488044 51.981632)",,,living_street
2726,44715978,1566353937,,84.001,15,,"['Mexicohof', 'Colombiahof']",,,False,yes,"[143130123, 143130126, 172061847]","LINESTRING (4.3491488 51.9821243, 4.3488161 51.9823227, 4.3486657 51.9824193, 4.3486007 51.9824616, 4.3482872 51.9826618)",,,living_street
2727,44715984,44713010,,79.787,15,,Roerdomphof,,,False,,7540017,"LINESTRING (4.3583359 51.9821965, 4.3584019 51.9820417, 4.3584525 51.9819949, 4.3586505 51.9815087)",,,living_street
2728,3880849366,1402771499,,27.197000000000003,,,Abtsrechtseweg,,,True,,426351824,"LINESTRING (4.3325759 51.9843692, 4.332707 51.9844896, 4.3327478 51.984586)",,,unclassified
2729,44822486,1435362340,,51.437,30,,Zaaihoek,,,False,,7541827,,,,residential
2730,44822486,1435362342,,107.807,30,,"['Zaaihoek', 'Oogstlaan']",,,False,,"[7541448, 7541827]","LINESTRING (4.33945 52.0056198, 4.3389694 52.0060413, 4.3395597 52.0063144)",,,residential
2731,44822486,568743900,,29.137,,,Zaaihoek,,,False,,44860729,"LINESTRING (4.33945 52.0056198, 4.3393813 52.0055632, 4.339538 52.0053979)",,,living_street
2732,44718339,44718825,,66.429,15,,Watersnipstraat,,,False,,7540007,,,,living_street
2733,44718339,30016684,,84.356,15,,"['Kievietstraat', 'Watersnipstraat']",,,False,,"[143091529, 7540007]","LINESTRING (4.3559108 51.9826472, 4.3556273 51.9825716, 4.3553468 51.9825239, 4.3547366 51.982423)",,,living_street
2734,44718339,5515088893,,88.692,15,,"['Rietgorsstraat', 'Watersnipstraat']",,,False,,"[142823242, 7540013]","LINESTRING (4.3559108 51.9826472, 4.3558545 51.9827905, 4.355806 51.9829142, 4.3556976 51.9831767, 4.3557875 51.983236, 4.3559172 51.983272, 4.3560487 51.9832916)",,,living_street
2735,44822489,44823645,,33.207,15,,Pootstraat,,,False,,223277536,,,,living_street
2736,44822489,44824147,,49.327,15,,Carthuyzerstraat,,,False,,7541687,"LINESTRING (4.3519406 52.0056323, 4.3516053 52.0059571, 4.3515541 52.0060067)",,,living_street
2737,44822489,44821572,,41.649,15,,Pootstraat,,,False,,223277536,"LINESTRING (4.3519406 52.0056323, 4.3517132 52.0055335, 4.351613 52.0054899, 4.3515995 52.005484, 4.3514426 52.0054171)",,,living_street
2738,2367860700,2323108138,,22.558999999999997,50,,Noordeinde,,1,True,,223412124,"LINESTRING (4.351669 52.0164959, 4.3517549 52.0165087, 4.3518428 52.0165134, 4.3519237 52.016504, 4.3519781 52.0164762)",,,residential
2739,2367860700,2323108159,,20.693,50,,Wateringsevest,,2,True,,228458521,"LINESTRING (4.351669 52.0164959, 4.3518195 52.0166146, 4.3518544 52.0166429)",,,secondary
2740,2367860705,2298434570,,57.828,50,,Wateringsevest,,2,True,,"[464287328, 533038222]","LINESTRING (4.3521109 52.0168528, 4.3523473 52.0170497, 4.3524384 52.0171163, 4.3524978 52.0171583, 4.3526366 52.0172596)",,,secondary
2741,44822503,44824163,,31.499,30,,Professor Krausstraat,,,False,,7537487,,,,residential
2742,44822503,44823653,,59.879,30,,Kloosterkade,,,False,,426030468,,,,residential
2743,44822503,44820017,,140.253,30,,Kloosterkade,,,False,,7537485,"LINESTRING (4.3783742 52.0056303, 4.3778591 52.0054887, 4.3776038 52.0054191, 4.3774964 52.0053896, 4.3774874 52.0053871, 4.3765025 52.0051171)",,,residential
2744,44822503,44820019,,53.58,30,,Professor Krausstraat,,,False,,7537487,"LINESTRING (4.3783742 52.0056303, 4.378528 52.0054142, 4.3786954 52.0051909)",,,residential
2745,44822504,503608237,,54.141,30,,Koningin Emmalaan,,,True,,47985022,,,,residential
2746,44822504,44820020,,59.388000000000005,30,,Ernst Casimirstraat,,,False,,7537515,"LINESTRING (4.3812165 52.0055917, 4.3813731 52.0054093, 4.3816219 52.0051195)",,,residential
2747,267538410,44734726,,85.5,15,,Moufflonlaan,,,False,,24611307,"LINESTRING (4.3637862 51.9866606, 4.3638178 51.9866124, 4.3638554 51.9865585, 4.3641424 51.9859244)",,,living_street
2748,5133225963,44752059,,11.748,15,,Montgomerylaan,,,False,,7541010,,,,living_street
2749,5133225963,44750625,,20.763,15,,Montgomerylaan,,,False,,7541010,,,,living_street
2750,5133225963,5133225964,,14.585,,,,,,False,,528149639,,,,living_street
2751,5133225964,5133225963,,14.585,,,,,,False,,528149639,,,,living_street
2752,736792564,736792569,,224.30499999999998,30,,Van Barenstraat,,,False,,7537850,"LINESTRING (4.3653542 52.0003165, 4.3651482 52.0005801, 4.3660036 52.0008147, 4.3659405 52.0009019, 4.3654905 52.0015236, 4.3656286 52.0015883, 4.3659926 52.0017302)",,,residential
2753,4555788280,4053473202,,51.788000000000004,30,,Nieuwe Gracht,,2,True,,"[528737930, 541403109]","LINESTRING (4.3569979 52.0031103, 4.3569823 52.0032461, 4.3569515 52.0033366, 4.3569224 52.0034052, 4.3568993 52.0034585, 4.3568818 52.0035109, 4.356863 52.0035673)",,,tertiary
2754,4555788280,4554554060,,398.1000000000001,"['50', '30']",,"['Nieuwe Gracht', 'Deltaweg']",,"['2', '3']",False,,"[561135369, 609253595, 775226542, 602245399]","LINESTRING (4.3569979 52.0031103, 4.3570729 52.0029349, 4.3570644 52.0027848, 4.3570604 52.0027126, 4.3570596 52.0026982, 4.357064 52.0026806, 4.3570721 52.0026482, 4.3571137 52.0025424, 4.3573691 52.0018719, 4.3574745 52.0016084, 4.3575008 52.0015481, 4.3575336 52.0014994, 4.358255 52.0008322, 4.3583941 52.0007162, 4.3584594 52.0006669, 4.3585271 52.000642, 4.3586103 52.0006088, 4.3587169 52.0005512, 4.3587821 52.0004793, 4.3588193 52.0004499, 4.3588586 52.0004229, 4.3588814 52.0004071, 4.3589358 52.0003812, 4.3590118 52.0003659, 4.3590779 52.0003698, 4.359165 52.0003921, 4.3595221 52.0004991, 4.3595809 52.0005087, 4.359647 52.000506, 4.3596948 52.0004968)",,,tertiary
2755,736792569,2572707866,,63.94800000000001,"['50', '30']",,Van Barenstraat,,,False,,"[7537850, 250938230, 362585175]","LINESTRING (4.3659926 52.0017302, 4.3661321 52.0017833, 4.3663013 52.0018463, 4.3665771 52.0019411, 4.3666914 52.0019804, 4.3668035 52.0020153)",,,residential
2756,736792569,736792564,,224.305,30,,Van Barenstraat,,,False,,7537850,"LINESTRING (4.3659926 52.0017302, 4.3656286 52.0015883, 4.3654905 52.0015236, 4.3659405 52.0009019, 4.3660036 52.0008147, 4.3651482 52.0005801, 4.3653542 52.0003165)",,,residential
