sigma,VehHourTrav,VehHourTrav_ns,PassHourTrav,PassHourTrav_ns,PassUtility,PassUtility_ns,Veh_Lambda_R,Veh_Discount,shared_fares,full_fares,revenue_s,revenue_ns,Fare_Discount,nR,SINGLE,PAIRS,TRIPLES,QUADRIPLES,QUINTETS,PLUS5,shared_ratio,fleet_size_nonshared,fleet_size_shared,lambda_shared,_typ,_subtyp
30,1100811,1242873,1311933,1242873,17180.887575,19279.8675,0.3216962649668325,0.19451062221711055,712097.1,768775.5,1480872.6,1864309.5,-0.2056723414218508,3000,2138,431,0,0,0,0,0.2873333333333333,346.0,311.0,0.19451062221711055,,
31,1103787,1242873,1308745,1242873,17265.673675,19279.8675,0.3246160021308643,0.1988673002655167,681906.225,815223.0,1497129.225,1864309.5,-0.19695242394033816,3000,2194,403,0,0,0,0,0.2686666666666667,346.0,311.0,0.1988673002655167,,
32,1111036,1242873,1302359,1242873,17424.87975,19279.8675,0.32899341673679056,0.20535742101098464,625938.3,901327.5,1527265.8,1864309.5,-0.18078741753984515,3000,2292,354,0,0,0,0,0.23600000000000002,346.0,313.0,0.20535742101098464,,
33,1114161,1242873,1298107,1242873,17539.182225,19279.8675,0.33238963219507345,0.21393702161609615,586594.125,961857.0,1548451.125,1864309.5,-0.16942378666203226,3000,2358,321,0,0,0,0,0.214,346.0,313.0,0.21393702161609615,,
34,1116079,1242873,1294460,1242873,17645.891625,19279.8675,0.3352450757397398,0.22483119130706164,549853.2000000001,1018381.5,1568234.7000000004,1864309.5,-0.15881204274290284,3000,2416,292,0,0,0,0,0.19466666666666665,346.0,313.0,0.22483119130706164,,
35,1121187,1242873,1291568,1242873,17739.6778,19279.8675,0.3369908679177672,0.22889701082918398,518328.525,1066881.0,1585209.525,1864309.5,-0.14970688879716598,3000,2464,268,0,0,0,0,0.17866666666666664,346.0,314.0,0.22889701082918398,,
36,1129981,1242873,1285753,1242873,17897.93975,19279.8675,0.3398698517358381,0.237806547832205,462853.95,1152226.5,1615080.45,1864309.5,-0.13368437483153953,3000,2540,230,0,0,0,0,0.15333333333333332,346.0,315.0,0.237806547832205,,
37,1132036,1242873,1283344,1242873,17977.122349999998,19279.8675,0.341570258262806,0.24713702161058135,437271.9,1191583.5,1628855.4,1864309.5,-0.12629560703305975,3000,2576,212,0,0,0,0,0.1413333333333333,346.0,317.0,0.24713702161058135,,
38,1137289,1242873,1279423,1242873,18098.465775,19279.8675,0.3436763956670472,0.26012702823889977,395746.65,1255468.5,1651215.15,1864309.5,-0.11430202442244708,3000,2628,186,0,0,0,0,0.124,346.0,320.0,0.26012702823889977,,
39,1145094,1242873,1276344,1242873,18221.4724,19279.8675,0.34517317749380344,0.2691893677646703,354154.125,1319457.0,1673611.125,1864309.5,-0.10228901102526164,3000,2678,161,0,0,0,0,0.10733333333333328,346.0,319.0,0.2691893677646703,,
