,repl,p,day,mean,std
130,0,0.75,30,4.076485461441214,3.451277353525094
131,0,0.75,31,4.077117572692794,3.452087635898847
132,0,0.75,32,4.077117572692794,3.452087635898847
133,0,0.75,33,4.077117572692794,3.452087635898847
134,0,0.75,34,4.077117572692794,3.452087635898847
135,0,0.75,35,4.077117572692794,3.452087635898847
136,0,0.75,36,4.077117572692794,3.452087635898847
137,0,0.75,37,4.077117572692794,3.452087635898847
138,0,0.75,38,4.077117572692794,3.452087635898847
139,0,0.75,39,4.077117572692794,3.452087635898847
140,0,0.75,40,4.077117572692794,3.452087635898847
141,0,0.75,41,4.077117572692794,3.452087635898847
142,0,0.75,42,4.077117572692794,3.452087635898847
143,0,0.75,43,4.077117572692794,3.452087635898847
144,0,0.75,44,4.077117572692794,3.452087635898847
145,0,0.75,45,4.077117572692794,3.452087635898847
146,0,0.75,46,4.077117572692794,3.452087635898847
147,0,0.75,47,4.077117572692794,3.452087635898847
148,0,0.75,48,4.077117572692794,3.452087635898847
149,0,0.75,49,4.077117572692794,3.452087635898847
150,0,0.8,0,2.502692998204668,2.2312621584807872
151,0,0.8,1,3.1356382978723403,2.753155795726019
152,0,0.8,2,3.444007858546169,2.9887837790908143
153,0,0.8,3,3.6226904376012965,3.1333739512245713
154,0,0.8,4,3.752577319587629,3.213529817855937
155,0,0.8,5,3.830497592295345,3.2622725513567814
156,0,0.8,6,3.885860852837448,3.2966135394691523
157,0,0.8,7,3.9251678925487687,3.3206005673060437
158,0,0.8,8,3.9629156010230178,3.345077296588687
159,0,0.8,9,3.99616368286445,3.369379694846553
160,0,0.8,10,4.016613418530351,3.3846388513574652
161,0,0.8,11,4.040242733950814,3.4000060804081227
162,0,0.8,12,4.051101884381986,3.4075570825865715
163,0,0.8,13,4.061961034813159,3.412155472865384
164,0,0.8,14,4.0696263174704566,3.4164057053259715
165,0,0.8,15,4.074097732353881,3.4164051378378266
166,0,0.8,16,4.088150750558927,3.4294193471223617
167,0,0.8,17,4.099009900990099,3.4340573405394386
168,0,0.8,18,4.1060364100926225,3.4381247169468576
169,0,0.8,19,4.106002554278416,3.4386908942367205
170,0,0.8,20,4.10727969348659,3.4390227801232265
171,0,0.8,21,4.110472541507025,3.4406858194117595
172,0,0.8,22,4.110472541507025,3.4406858194117595
173,0,0.8,23,4.111111111111111,3.4404795914253232
174,0,0.8,24,4.111749680715198,3.4405517340956693
175,0,0.8,25,4.111749680715198,3.4405517340956693
176,0,0.8,26,4.112388250319285,3.4411806805933884
177,0,0.8,27,4.115581098339719,3.443487256395355
178,0,0.8,28,4.116219667943806,3.443743999983456
179,0,0.8,29,4.116219667943806,3.443743999983456
180,0,0.8,30,4.116219667943806,3.443743999983456
181,0,0.8,31,4.116219667943806,3.443743999983456
182,0,0.8,32,4.116858237547893,3.4440933418882427
183,0,0.8,33,4.116858237547893,3.4440933418882427
184,0,0.8,34,4.116858237547893,3.4440933418882427
185,0,0.8,35,4.11749680715198,3.443793392056152
186,0,0.8,36,4.11749680715198,3.443793392056152
187,0,0.8,37,4.118135376756066,3.445347814371295
188,0,0.8,38,4.118135376756066,3.445347814371295
189,0,0.8,39,4.118135376756066,3.445347814371295
190,0,0.8,40,4.118135376756066,3.445347814371295
191,0,0.8,41,4.118135376756066,3.445347814371295
192,0,0.8,42,4.1174593041812955,3.445098271404812
193,0,0.8,43,4.1174593041812955,3.445098271404812
194,0,0.8,44,4.1174593041812955,3.445098271404812
195,0,0.8,45,4.1174593041812955,3.445098271404812
196,0,0.8,46,4.1174593041812955,3.445098271404812
197,0,0.8,47,4.1174593041812955,3.445098271404812
198,0,0.8,48,4.1174593041812955,3.445098271404812
199,0,0.8,49,4.1174593041812955,3.445098271404812
200,0,0.85,0,2.555397727272727,2.25696930936742
201,0,0.85,1,3.0660408984244047,2.7233243694790605
202,0,0.85,2,3.3159113463446905,2.890530001176909
203,0,0.85,3,3.4558582212011815,2.9941841706741776
204,0,0.85,4,3.548724656638326,3.0663388213216995
205,0,0.85,5,3.6514657980456025,3.1377139364182565
206,0,0.85,6,3.736842105263158,3.19707180909449
207,0,0.85,7,3.807205452775073,3.2512475147635214
208,0,0.85,8,3.8528839922229423,3.267104811861995
209,0,0.85,9,3.9015862738750404,3.2891761092618608
210,0,0.85,10,3.9275080906148867,3.304830421571437
211,0,0.85,11,3.9527813712807243,3.317800294859977
212,0,0.85,12,3.9806076276664513,3.346893037251096
213,0,0.85,13,4.004523424878837,3.362784300563679
214,0,0.85,14,4.022617124394184,3.373746352015086
215,0,0.85,15,4.050338818973863,3.3904580314591546
216,0,0.85,16,4.064495324089004,3.394735057132337
217,0,0.85,17,4.075435203094777,3.4007012271967962
218,0,0.85,18,4.098646034816247,3.408915900216972
219,0,0.85,19,4.109536082474227,3.412209019652687
220,0,0.85,20,4.119806763285024,3.4190487408845827
221,0,0.85,21,4.1268921095008055,3.4233132514486657
222,0,0.85,22,4.130756843800322,3.4255197852918036
223,0,0.85,23,4.132689210950081,3.427513941423093
224,0,0.85,24,4.133333333333334,3.427582930035106
225,0,0.85,25,4.13719806763285,3.4295915880872374
226,0,0.85,26,4.139130434782609,3.4308286082940693
227,0,0.85,27,4.14170692431562,3.4310987236525423
228,0,0.85,28,4.147504025764896,3.435921294286038
229,0,0.85,29,4.147504025764896,3.435921294286038
230,0,0.85,30,4.148148148148148,3.4358935727105266
231,0,0.85,31,4.15072463768116,3.4363440356998343
232,0,0.85,32,4.1526570048309175,3.438789148133248
233,0,0.85,33,4.153301127214171,3.438573106326736
234,0,0.85,34,4.153301127214171,3.438573106326736
235,0,0.85,35,4.153945249597424,3.4382632316093074
236,0,0.85,36,4.153945249597424,3.4382632316093074
237,0,0.85,37,4.153945249597424,3.4382632316093074
238,0,0.85,38,4.154589371980676,3.438234321822113
239,0,0.85,39,4.154589371980676,3.438234321822113
240,0,0.85,40,4.154589371980676,3.438234321822113
241,0,0.85,41,4.154589371980676,3.438234321822113
242,0,0.85,42,4.154589371980676,3.438234321822113
243,0,0.85,43,4.154589371980676,3.438234321822113
244,0,0.85,44,4.154589371980676,3.438234321822113
245,0,0.85,45,4.154589371980676,3.438234321822113
246,0,0.85,46,4.154589371980676,3.438234321822113
247,0,0.85,47,4.154589371980676,3.438234321822113
248,0,0.85,48,4.154589371980676,3.438234321822113
249,0,0.85,49,4.154589371980676,3.438234321822113
250,0,0.9,0,2.4836555360281194,2.2052304833459875
251,0,0.9,1,2.884418683941357,2.554175481867811
252,0,0.9,2,3.0681511470985154,2.723519979003846
253,0,0.9,3,3.1732888146911518,2.810840208980096
254,0,0.9,4,3.2585462993693994,2.866414511022625
255,0,0.9,5,3.346965699208443,2.911483769177327
256,0,0.9,6,3.444736842105263,2.987013450736005
257,0,0.9,7,3.517716535433071,3.0278785221600066
258,0,0.9,8,3.5837696335078535,3.0912237828864497
259,0,0.9,9,3.6509803921568627,3.131489512013746
260,0,0.9,10,3.6965742251223492,3.155966107588398
261,0,0.9,11,3.743155149934811,3.1811725161977225
262,0,0.9,12,3.771260997067449,3.196081430809735
263,0,0.9,13,3.824755700325733,3.223595324906689
264,0,0.9,14,3.854770433083686,3.2422911638617227
265,0,0.9,15,3.884152294175073,3.2591397035118437
266,0,0.9,16,3.907702307442314,3.269325231483966
267,0,0.9,17,3.930474333983106,3.2801746144513393
268,0,0.9,18,3.9519324455992204,3.2946530609543854
269,0,0.9,19,3.9662556781310836,3.3034602942645486
270,0,0.9,20,3.990917937074278,3.316221007759145
271,0,0.9,21,4.005188067444877,3.3222393660149194
272,0,0.9,22,4.018146467919637,3.33154384261992
273,0,0.9,23,4.033678756476684,3.335203431159701
274,0,0.9,24,4.046617028164454,3.3429458997779298
275,0,0.9,25,4.053091615409517,3.3445925818490747
276,0,0.9,26,4.055033991583037,3.3446579972157116
277,0,0.9,27,4.0660194174757285,3.3509773045644033
278,0,0.9,28,4.068608414239482,3.3504422004007712
279,0,0.9,29,4.075728155339806,3.3513515202843607
280,0,0.9,30,4.085436893203884,3.356041148691512
281,0,0.9,31,4.101585247492721,3.369293196614561
282,0,0.9,32,4.108055645422193,3.3715883830524596
283,0,0.9,33,4.119702361695245,3.3869973206210386
284,0,0.9,34,4.1313065976714105,3.40830287337504
285,0,0.9,35,4.135790494665374,3.410136703860564
286,0,0.9,36,4.140316844487552,3.4118497603248286
287,0,0.9,37,4.144196572906563,3.412825304876493
288,0,0.9,38,4.149369544131911,3.418946490795763
289,0,0.9,39,4.154542515357258,3.4279748922818687
290,0,0.9,40,4.154542515357258,3.4279748922818687
291,0,0.9,41,4.155189136760427,3.428700360554896
292,0,0.9,42,4.157129000969932,3.4280459636018334
293,0,0.9,43,4.157775622373101,3.428299276643374
294,0,0.9,44,4.157775622373101,3.428299276643374
295,0,0.9,45,4.159068865179438,3.4288054806360786
296,0,0.9,46,4.159068865179438,3.4288054806360786
297,0,0.9,47,4.159068865179438,3.4288054806360786
298,0,0.9,48,4.159068865179438,3.4288054806360786
299,0,0.9,49,4.159715486582606,3.428964054295332
300,0,0.95,0,2.522735409953455,2.302422287239663
301,0,0.95,1,2.73868817958611,2.5149603389702913
302,0,0.95,2,2.826509368494101,2.6081105099056416
303,0,0.95,3,2.892869445401309,2.654572430532926
304,0,0.95,4,2.9544364508393284,2.6900000157949013
305,0,0.95,5,3.0098740211099764,2.720438940517328
306,0,0.95,6,3.0657181571815717,2.760227933308761
307,0,0.95,7,3.1120107962213224,2.7817939284866418
308,0,0.95,8,3.173109243697479,2.8457219475301767
309,0,0.95,9,3.229842756774841,2.904959178142081
310,0,0.95,10,3.286143572621035,2.9431132298506686
311,0,0.95,11,3.3217970049916805,2.9592113008975662
312,0,0.95,12,3.366533864541833,2.9949224502055483
313,0,0.95,13,3.396488903610467,3.0152254894583064
314,0,0.95,14,3.4333884297520663,3.03315169134952
315,0,0.95,15,3.4603698811096435,3.05268377408416
316,0,0.95,16,3.5059366754617414,3.07660326886369
317,0,0.95,17,3.5411997363216874,3.0951154328528268
318,0,0.95,18,3.5832784726793943,3.129644683777186
319,0,0.95,19,3.6152581387701415,3.149658086203516
320,0,0.95,20,3.63887065003283,3.159615746161937
321,0,0.95,21,3.663606557377049,3.1744335938051687
322,0,0.95,22,3.6957377049180327,3.185818680629177
323,0,0.95,23,3.7111984282907664,3.1990047693766797
324,0,0.95,24,3.7380484610347087,3.209286739851636
325,0,0.95,25,3.762434554973822,3.2303555862151594
326,0,0.95,26,3.771746239372139,3.233608617205329
327,0,0.95,27,3.7934640522875815,3.2437970720445337
328,0,0.95,28,3.811172819340085,3.2528950348428727
329,0,0.95,29,3.8256041802743304,3.2591876332662766
330,0,0.95,30,3.838720208945478,3.264035551389993
331,0,0.95,31,3.8545810238017606,3.274321565528727
332,0,0.95,32,3.869664385793418,3.28343129076467
333,0,0.95,33,3.884652981427175,3.296078779085113
334,0,0.95,34,3.8990556821882123,3.298045382116669
335,0,0.95,35,3.904296875,3.2989476273720877
336,0,0.95,36,3.9231770833333335,3.313622543975438
337,0,0.95,37,3.9323136999674584,3.316326467659956
338,0,0.95,38,3.9414253172795313,3.3161073398918117
339,0,0.95,39,3.9544419134396356,3.321216022551232
340,0,0.95,40,3.9661568499837294,3.3251762324262093
341,0,0.95,41,3.970731707317073,3.32824537238992
342,0,0.95,42,3.9811382113821137,3.337300578563257
343,0,0.95,43,3.986341463414634,3.3417094775123855
344,0,0.95,44,3.998700454840806,3.352441996352482
345,0,0.95,45,4.007142857142857,3.35783237784943
346,0,0.95,46,4.014930217461863,3.3625763743557666
347,0,0.95,47,4.022063595068137,3.367007753546538
348,0,0.95,48,4.032435939020434,3.3811880040388256
349,0,0.95,49,4.0440985732814525,3.3851099507310463
350,0,0.99,0,2.4969740121039514,2.187785331745364
351,0,0.99,1,2.543008849557522,2.2332968636738815
352,0,0.99,2,2.552454962910632,2.2475711616107983
353,0,0.99,3,2.563668430335097,2.251734832509518
354,0,0.99,4,2.58128078817734,2.2698709263971386
355,0,0.99,5,2.602951510892481,2.2904505053607647
356,0,0.99,6,2.621583742116328,2.3119275329149644
357,0,0.99,7,2.6307315365768287,2.3169257385233837
358,0,0.99,8,2.6589797344514325,2.34682173476059
359,0,0.99,9,2.668760907504363,2.3592097925785698
360,0,0.99,10,2.6843021232161504,2.372417377928358
361,0,0.99,11,2.6974965229485397,2.384502279664886
362,0,0.99,12,2.708825573314802,2.38783819187996
363,0,0.99,13,2.7228581338883107,2.402113027785543
364,0,0.99,14,2.7431731766332526,2.444132165749417
365,0,0.99,15,2.7570738440303657,2.45167163715492
366,0,0.99,16,2.769707401032702,2.46189515871068
367,0,0.99,17,2.78021978021978,2.4674689131347494
368,0,0.99,18,2.788877445932029,2.478836217574793
369,0,0.99,19,2.7989037341555325,2.487181426894921
370,0,0.99,20,2.8121584699453552,2.502522619213544
371,0,0.99,21,2.8215626066189015,2.507577406905946
372,0,0.99,22,2.8280558392917943,2.5096657966848595
373,0,0.99,23,2.848010880652839,2.5298934439965666
374,0,0.99,24,2.857142857142857,2.5406977369979566
375,0,0.99,25,2.865084745762712,2.548565493143711
376,0,0.99,26,2.8807588075880757,2.55816955672328
377,0,0.99,27,2.890693739424704,2.5597592979518553
378,0,0.99,28,2.901894451962111,2.5678969115961636
379,0,0.99,29,2.9162162162162164,2.5801921553455665
380,0,0.99,30,2.9318028359216743,2.5872302322214833
381,0,0.99,31,2.9585439838220426,2.628100449441906
382,0,0.99,32,2.96932928884395,2.632862560292636
383,0,0.99,33,2.9797843665768196,2.638083269606175
384,0,0.99,34,2.9922532839339846,2.640960133434746
385,0,0.99,35,3.001346801346801,2.644668665806963
386,0,0.99,36,3.0084146751935377,2.6485997592222654
387,0,0.99,37,3.019502353732347,2.6598172755438245
388,0,0.99,38,3.0278991596638654,2.662770069259533
389,0,0.99,39,3.0349227669576897,2.6644355259410344
390,0,0.99,40,3.0486740516952,2.668621124226699
391,0,0.99,41,3.0614300100704934,2.6761488063822187
392,0,0.99,42,3.0754780275075477,2.6986211644464393
393,0,0.99,43,3.0875545119087553,2.704343279731352
394,0,0.99,44,3.0949345857094936,2.710415748109269
395,0,0.99,45,3.101206434316354,2.7129663238789
396,0,0.99,46,3.1137884872824633,2.719279325789317
397,0,0.99,47,3.1210702341137124,2.725919390898741
398,0,0.99,48,3.131974607417307,2.730966584560495
399,0,0.99,49,3.1462925851703405,2.748016558218253
400,0,1.0,0,2.4989339019189765,2.292160149737825
401,0,1.0,1,2.4989339019189765,2.292160149737825
402,0,1.0,2,2.4989339019189765,2.292160149737825
403,0,1.0,3,2.4989339019189765,2.292160149737825
404,0,1.0,4,2.4989339019189765,2.292160149737825
405,0,1.0,5,2.4989339019189765,2.292160149737825
406,0,1.0,6,2.4989339019189765,2.292160149737825
407,0,1.0,7,2.4989339019189765,2.292160149737825
408,0,1.0,8,2.4989339019189765,2.292160149737825
409,0,1.0,9,2.4989339019189765,2.292160149737825
410,0,1.0,10,2.4989339019189765,2.292160149737825
411,0,1.0,11,2.4989339019189765,2.292160149737825
412,0,1.0,12,2.4989339019189765,2.292160149737825
413,0,1.0,13,2.4989339019189765,2.292160149737825
414,0,1.0,14,2.4989339019189765,2.292160149737825
415,0,1.0,15,2.4989339019189765,2.292160149737825
416,0,1.0,16,2.4989339019189765,2.292160149737825
417,0,1.0,17,2.4989339019189765,2.292160149737825
418,0,1.0,18,2.4989339019189765,2.292160149737825
419,0,1.0,19,2.4989339019189765,2.292160149737825
420,0,1.0,20,2.4989339019189765,2.292160149737825
421,0,1.0,21,2.4989339019189765,2.292160149737825
422,0,1.0,22,2.4989339019189765,2.292160149737825
423,0,1.0,23,2.4989339019189765,2.292160149737825
424,0,1.0,24,2.4989339019189765,2.292160149737825
425,0,1.0,25,2.4989339019189765,2.292160149737825
426,0,1.0,26,2.4989339019189765,2.292160149737825
427,0,1.0,27,2.4989339019189765,2.292160149737825
428,0,1.0,28,2.4989339019189765,2.292160149737825
429,0,1.0,29,2.4989339019189765,2.292160149737825
430,0,1.0,30,2.4989339019189765,2.292160149737825
431,0,1.0,31,2.4989339019189765,2.292160149737825
432,0,1.0,32,2.4989339019189765,2.292160149737825
433,0,1.0,33,2.4989339019189765,2.292160149737825
434,0,1.0,34,2.4989339019189765,2.292160149737825
435,0,1.0,35,2.4989339019189765,2.292160149737825
436,0,1.0,36,2.4989339019189765,2.292160149737825
437,0,1.0,37,2.4989339019189765,2.292160149737825
438,0,1.0,38,2.4989339019189765,2.292160149737825
439,0,1.0,39,2.4989339019189765,2.292160149737825
440,0,1.0,40,2.4989339019189765,2.292160149737825
441,0,1.0,41,2.4989339019189765,2.292160149737825
442,0,1.0,42,2.4989339019189765,2.292160149737825
443,0,1.0,43,2.4989339019189765,2.292160149737825
444,0,1.0,44,2.4989339019189765,2.292160149737825
445,0,1.0,45,2.4989339019189765,2.292160149737825
446,0,1.0,46,2.4989339019189765,2.292160149737825
447,0,1.0,47,2.4989339019189765,2.292160149737825
448,0,1.0,48,2.4989339019189765,2.292160149737825
